,rnum,publisher,creator,collectionDb,title,subjectKeyword,referenceIdentifier,alternativeTitle,extent,medium,temporal,reference,rights,source,charge,venue,time,description,subDescription,spatial,url
0,1,,공공데이터포털,시티투어데이터 DB,서귀포 원도심 주요 관광지 등,,,,순환형,,,시티투어문의처: 064-760-2653 | 관리기관문의처: 064-760-2653,서귀포시 관광진흥과,seogwipocitytour.jejudoevent.com/,현금 : 1200원. 카드 : 1150원 | 해당사항 없음,탑승장소: 향토오일시장. 매일올레시장. 아랑조을거리. 외돌개. 천지연폭포. 새연교.칠십리음식특화거리. 자구리공원. 서복전시관. 정방폭포,09:00 ~ 21:35,코스정보: 홈페이지 및 리플릿 참조,경유지정보: 홈페이지 및 리플릿 참조 | 부가정보: 홈페이지 및 리플릿 참조 | 운행정보: 홈페이지 및 리플릿 참조,제주특별자치도 서귀포시,-
1,2,,공공데이터포털,시티투어데이터 DB,제주시 순환형코스,,,,순환형,,,시티투어문의처: 064-741-8784 | 관리기관문의처: 064-741-8784,제주특별자치도관광협회,http://www.jejucitybus.com/,성인:12000원+소인및청소년:8000원+장애인및국가유공자:6000원+48개월미만:무료 | (1회이용권)성인·소인및청소년:3000원+48개월미만:무료,탑승장소: 제주국제공항+제주버스터미널+제주시청+제주연안여객터미널+동문시장+제주민속오일시장+한라수목원등,09:00~19:00(막차 17:00출발),코스정보: 제주시의 주요 관광지 뿐만 아니라 제주국제공항과 크루즈여객터미널. 제주연안여객터미널. 제주버스터미널등 교통의 요지를 두루 거치며 제주의 전통재래시장 및 해안도로를 연계하는 코스,경유지정보: 삼성혈+원도심+면세점등홈페이지참고 | 부가정보: 탐라순방코스(역사코스) / 오름코스 / 제주문화예술코스(원도심코스) / 올레해변코스 / 포토타임코스 / 힐링코스 / 쇼핑코스로 나눠서 여행 가능 | 운행정보: 1일 9회 운행,제주특별자치도 제주시,-
2,3,,공공데이터포털,시티투어데이터 DB,서귀포 원도심 주요 관광지 등,,,,순환형,,,시티투어문의처: 064-732-1330 | 관리기관문의처: 064-760-2653,서귀포시 관광진흥과,http://www.seogwipo.go.kr/group/culture/tourism/electricity.htm,현금:1200원+카드:1150원 | 해당사항없음,탑승장소: 향토오일시장+매일올레시장+아랑조을거리+외돌개+천지연폭포+새연교+칠십리음식특화거리+자구리공원+서복전시관+정방폭포,09:00 ~ 21:35,코스정보: 친환경 전기버스를 이용하여 원도심에 있는 주요관광지와 전통시장 등을 여행할 수 있는 순환형 버스투어,경유지정보: 이중섭거리/미술관등 | 부가정보: 교통비가 절약되는 무료 환승 이용방법은 제주버스 하차 태그 후 40분 이내 | 운행정보: 홈페이지 및 리플릿 참조,제주특별자치도 서귀포시,-
3,4,MPKB22,제주여성역사,이뮤지엄 DB,수저,,www.emuseum.go.kr/openapi/img?serviceKey=LpKAo6j6Ok8w7d0uKTJnSIgADjrr34dWtISC0VIHCT6Y%2BQTvtEMT17wQ1uwUKS6htpJmRPbyfN4fuwsnjTV6%2Ft8l6Zxc3WDCOoulbR%2FS9B74o5PW8236s3cAIiddzuliFo9HsrhXxhQ%3D&imageId=OVhza3VWa21jMHJ6WkovZXYxdkVHQVZJeVUwWjVvamRjTlVkVU9XZGZpaHIvYlh5ckczbjBSUE9jWnN1RnhTdWN5aTE5T3ptQUwvTHBUaEd1UXFjM1E9PQ%3D%3D,,"길이 20.8cm, 너비 5cm",금속-기타,광복이후,,,,,,,,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105700000
4,5,MPKB22,제주여성역사,이뮤지엄 DB,수저,,www.emuseum.go.kr/openapi/img?serviceKey=AGKUlJ0nU%2Bon7o%2Bkp%2FKLr0yq3lCdbx5qNg0EBTfw32R0Ygaz%2F%2BerLef1ceMiqUD%2B0jLSKBQq157iJZvTH1l2RjL%2FYyAMBNwDLKi%2F4yAJI3uz%2FUckkTOWnw1%2B5ciCn2zcg4zXltHojhM%3D&imageId=MGtEWW1UTklncFNHYktjL0h4TEVDVS83UTBjMkVkNHZDcmVhTXdNRGJiOTFBYXpnQVFoT0t5bzhnUzVxQjZ1SCtDRVAxdDlXL3hZd2lHNktFNjdnUlE9PQ%3D%3D,,"길이 20.1cm, 너비 4.8cm",금속-기타,광복이후,,,,,,, 일반적인 놋수저의 형태를 보여준다. 상태는 양호한 편이다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105800000
5,6,MPKB22,제주여성역사,이뮤지엄 DB,바구니,,www.emuseum.go.kr/openapi/img?serviceKey=4Is%2FfJUHh9A0OiPMre%2FoYK%2FFjifRfdxh89qrCwLuTfgHKSNZt%2FYZo9q%2Bu368BOzYPg%2BYcPpwxBxY8Ivt1yQDeLP1leatXp%2BF6uHhjbZdh4lrpN9zjqv9ovlmSoAtNhGZV2jfIBnC6UA%3D&imageId=c1o4Z20rMjRBWHQvMEdVUG52d0p5QUVGNUV4R3BKNFpPaXM2eFo3V2hXdzg0UXN3YkFIWnA3c3hwc1NXR2kzaHdZZGhtZVFlNnRPZ2ZVTmRPc3FjUEE9PQ%3D%3D,,"가로 43cm, 세로 35cm, 높이 17.2cm",나무-대나무,광복이후,,,,,,, 제주도의 일반적인 바구니의 형태를 보여준다. 상태는 양호한 편이다. 유물1064번의 몸통으로 보인다.,식생활-음식기-저장운반,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100106300000
6,7,MPKB22,제주여성역사,이뮤지엄 DB,수저,,www.emuseum.go.kr/openapi/img?serviceKey=vT2DkxQTGXiqUTu%2FMU54luxHSfDuz%2FhWanImbt4eNPcSB75z6Z%2F%2FXZgLjUFnhuCVPRfAAa7BeQpoWqiIzq2wkv%2FJRDHkmTtpLOBPL9QZuKryYNowV%2By6sCxtyw2RgrBxKumdcDe7NC8%3D&imageId=enRXK1k3TTU1ckZDcllBOHVlc2VYelFmWEQ4SjU1UEFKQ2RnWmZCZ3cwd001dHlTaWJGZ09QZnZuNzRqbzFkWlRrdnZBMjcrdWJUTE5mNDVYdW1zRUE9PQ%3D%3D,,"길이 20.5cm, 너비 5cm",금속-기타,광복이후,,,,,,, 일반적인 놋수저의 형태를 보여준다. 상태는 양호한 편이다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100105900000
7,8,MPKB22,제주여성역사,이뮤지엄 DB,수저,,www.emuseum.go.kr/openapi/img?serviceKey=Z4fy3Bj0mr2HkblRoPEH0xCIYygzrzeBRV%2FouqfjDKRt9tZbkiiwnVbagbjI%2F98srMn%2BtKsApEBnylsRoOcXZ9GZQhbbvVqu%2Fv7HM%2Fypd1ASRUb9lyMqy2eEb9iNYFb98ERxRqjjyNk%3D&imageId=cGlxUEYxcG8vQXltRDFHTkNxWW9BZWgzSkVjVWpWM2dwVWhBSkVmRDJjUERCQ09hbEVsTWhPM3R0eGVKa2VLUmFlTG1SQWxmcVdZS0gyZWZhcy9Fbmc9PQ%3D%3D,,"길이 19.8cm, 너비 4.7cm",금속-기타,광복이후,,,,,,, 일반적인 놋수저의 형태를 보여준다. 상태는 양호한 편이다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100106000000
8,9,MPKB22,제주여성역사,이뮤지엄 DB,밥주걱,,www.emuseum.go.kr/openapi/img?serviceKey=5QKjFgtMkxrNmISzKYZyXVhilP9KxeriblnSIN4SDxQh8jiX3O6LFQvO7UlrqrlPEHp8vbvurehD0JI2SCccNDQaXoeCBsfh6SkTixlthCJNsiag%2B0xHqc2hWmB2fB9ISd8QM1k3D0E%3D&imageId=dzVLckNicGRUUGxreU4yazZxRUxLS0lpZ2NaaUk1dDRKZzRVMFNpeWRscGVtOXZ2U09HbmZ1QmxFU0NES1p2dnpZVUlrZGwzUHNrRk9ESGxhR25jVlE9PQ%3D%3D,,"길이 27.5cm, 너비 14cm",금속-기타,광복이후,,,,,,, 일반적인 밥주걱의 형태를 보여준다. 상태는 양호한 편이다.,식생활-음식기-기타,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100106100000
9,10,MPKB22,제주여성역사,이뮤지엄 DB,바구니,,www.emuseum.go.kr/openapi/img?serviceKey=xIMmNRhkZF%2FrMmiN8s4Tu8my9iSlNeg%2ByzBIOASxzg%2FiXExhxw8ykN1OQ834xRF65Ghdks6ODgX%2FgPddo0T12%2FG8PM1ShZIW7exzYQWYk8YTbiurPu5LZwB84xwZFTdL0jdM8xOq8ek%3D&imageId=MzJIMU8rTjlSNFl1SFo2OCtYdDcvYXRNTEZrekQvcEhsTGdlL2Z1Z3YxRU1kUVdqOTREbmlMR0dEU2ZQRG5lWldaVHFNemE1SnV4UStYbVNNQi9XMFE9PQ%3D%3D,,"가로 41cm, 세로 40.5cm, 높이 16.2cm",나무-대나무,광복이후,,,,,,, 제주도의 일반적인 바구니의 형태는 아니다. 다른지방의 바구니 형태인 것으로 보인다. 상태는 양호한 편이다.,식생활-음식기-저장운반,국적:한국||출토지:제주도-제주시,http://www.emuseum.go.kr/detail?relicId=PS0100316300100106200000
