반,성별,공부시간,시험점수,용돈
C,여,2.7,63,11000
A,남,1.8,69,23000
C,남,3.5,74,27000
C,여,2.0,74,6000
A,여,3.2,64,25000
A,여,2.5,67,27000
C,남,1.3,65,36000
B,남,4.3,79,55000
C,남,6.3,89,44000
C,남,6.3,76,18000
C,남,1.7,56,17000
C,남,4.7,85,38000
A,여,7.5,69,19000
C,남,4.6,86,12000
B,남,4.0,69,111000
A,남,0.8,58,22000
B,여,3.9,65,18000
B,남,2.2,63,7000
B,남,1.9,73,44000
B,여,3.7,76,14000
A,남,6.2,84,27000
A,남,11.3,100,48000
B,남,0.6,46,15000
B,남,5.6,71,28000
A,남,3.9,68,67000
A,여,5.7,81,6000
A,여,3.0,68,16000
C,여,4.5,81,15000
C,남,2.9,70,24000
C,남,0.8,59,26000
B,남,4.2,90,14000
C,여,1.1,63,18000
B,남,4.3,69,16000
B,남,5.8,93,21000
C,여,1.2,69,30000
B,남,2.8,81,46000
C,여,4.6,73,50000
C,여,2.1,71,39000
A,여,12.4,93,15000
C,남,2.7,72,26000
A,남,1.1,58,111000
C,남,4.9,64,49000
C,남,2.3,72,20000
A,남,4.2,57,69000
A,남,1.7,46,21000
C,남,4.3,75,18000
B,여,1.1,64,62000
A,남,1.6,69,12000
B,여,3.9,77,8000
B,남,7.7,98,47000
B,남,5.2,81,27000
A,남,2.6,64,29000
B,여,1.1,59,21000
A,여,6.2,78,23000
B,여,3.1,70,20000
C,여,3.0,58,18000
C,남,6.4,83,21000
A,여,2.5,64,20000
C,남,3.0,69,16000
C,남,2.9,69,19000
B,여,2.8,47,5000
A,여,1.2,53,40000
B,여,0.4,56,34000
B,여,3.3,68,25000
B,여,1.1,61,31000
B,여,1.9,65,31000
B,여,3.7,82,17000
B,여,0.8,61,19000
B,남,10.6,95,36000
A,여,8.0,74,30000
C,여,2.5,54,91000
B,남,3.5,73,71000
B,여,1.7,70,47000
B,남,0.5,69,17000
B,남,1.3,54,19000
B,여,7.3,82,14000
B,남,3.2,70,31000
C,남,0.5,73,5000
C,남,3.3,69,20000
B,남,7.3,97,22000
C,여,1.3,62,10000
A,남,0.8,67,43000
B,여,2.1,72,13000
A,남,8.2,89,31000
A,남,0.7,50,142000
B,남,2.3,62,10000
C,남,6.8,94,24000
A,여,6.0,86,21000
B,여,2.6,62,18000
A,남,10.4,94,42000
A,남,2.1,50,52000
A,여,2.6,77,42000
A,남,0.3,63,17000
C,남,5.9,78,115000
A,남,4.1,73,9000
A,여,2.6,48,14000
A,여,1.7,58,29000
C,여,2.9,77,28000
A,남,1.5,69,36000
A,남,1.9,65,69000
C,여,3.3,68,25000
C,여,3.8,77,28000
C,여,3.7,68,18000
A,여,1.4,47,38000
C,남,0.4,57,22000
C,여,0.8,61,22000
A,남,6.9,92,37000
C,여,1.7,50,50000
A,남,2.5,64,7000
B,여,4.8,74,33000
C,여,2.1,55,22000
B,여,4.5,77,47000
A,여,2.0,69,23000
C,남,1.5,59,58000
A,여,8.3,100,17000
B,남,5.2,73,7000
A,남,5.6,74,50000
C,남,0.8,54,16000
C,남,1.4,54,10000
B,여,2.5,61,27000
