기관명,발전소명,호기,배출년월,황산화물 허용기준,황산화물(SOx),먼지 허용기준,먼지(TSP),질소산화물 허용기준,질소산화물(NOx)
한국동서발전㈜,당진발전본부,1,2020-09,54.0,30.628197,12.0,4.050751,65.0,21.808299
한국동서발전㈜,당진발전본부,2,2020-09,54.0,30.280092,12.0,3.709459,65.0,17.221423
한국동서발전㈜,당진발전본부,3,2020-09,54.0,13.571697,12.0,2.005233,65.0,11.423545
한국동서발전㈜,당진발전본부,4,2020-09,54.0,39.7932,12.0,4.119603,65.0,17.769036
한국동서발전㈜,당진발전본부,5,2020-09,54.0,29.758017,12.0,4.202837,65.0,20.847912
한국동서발전㈜,당진발전본부,6,2020-09,54.0,30.040444,12.0,3.15922,65.0,17.332133
한국동서발전㈜,당진발전본부,7,2020-09,54.0,28.017774,12.0,3.686884,65.0,18.201749
한국동서발전㈜,당진발전본부,8,2020-09,54.0,24.070169,12.0,2.958047,65.0,14.996491
한국동서발전㈜,당진발전본부,9,2020-09,45.0,90.663914,10.0,1.762782,46.0,37.038883
한국동서발전㈜,당진발전본부,10,2020-09,45.0,90.98309,10.0,2.402199,46.0,39.881629
한국동서발전㈜,울산발전본부,4,2020-09,64.0,1.759935,12.0,0.036355,85.0,47.166305
한국동서발전㈜,울산발전본부,5,2020-09,64.0,3.006846,12.0,0.207713,85.0,46.212744
한국동서발전㈜,울산발전본부,6,2020-09,64.0,0.434822,12.0,0.319741,85.0,56.991001
한국동서발전㈜,울산발전본부,7,2020-09,,0.0,,0.0,34.0,10.342073
한국동서발전㈜,울산발전본부,8,2020-09,,0.0,,0.0,34.0,7.626955
한국동서발전㈜,울산발전본부,9,2020-09,,0.0,,0.0,34.0,19.261002
한국동서발전㈜,울산발전본부,10,2020-09,,0.0,,0.0,34.0,21.104049
한국동서발전㈜,울산발전본부,11,2020-09,,0.0,,0.0,34.0,22.316151
한국동서발전㈜,울산발전본부,12,2020-09,,0.0,,0.0,34.0,23.860451
한국동서발전㈜,울산발전본부,13,2020-09,,0.0,,0.0,21.0,3.106128
한국동서발전㈜,울산발전본부,14,2020-09,,0.0,,0.0,21.0,2.575458
한국동서발전㈜,동해바이오발전본부,1,2020-09,120.0,2.526733,12.0,0.079097,80.0,0.848769
한국동서발전㈜,동해바이오발전본부,2,2020-09,120.0,10.928499,12.0,0.169151,80.0,3.795683
한국동서발전㈜,신호남건설추진본부,1,2020-09,60.0,48.039097,12.0,1.337068,119.0,99.476348
한국동서발전㈜,신호남건설추진본부,2,2020-09,60.0,47.034827,12.0,1.614207,119.0,107.97703
한국동서발전㈜,일산발전본부,1,2020-09,,0.0,,0.0,40.0,0.010452
한국동서발전㈜,일산발전본부,2,2020-09,,0.0,,0.0,40.0,0.208609
한국동서발전㈜,일산발전본부,3,2020-09,,0.0,,0.0,40.0,0.225494
한국동서발전㈜,일산발전본부,4,2020-09,,0.0,,0.0,40.0,0.005952
한국동서발전㈜,일산발전본부,5,2020-09,,0.0,,0.0,40.0,4.12196
한국동서발전㈜,일산발전본부,6,2020-09,,0.0,,0.0,40.0,3.863505
한국동서발전㈜,당진발전본부,1,2020-10,54.0,33.857757,12.0,4.174634,65.0,22.248669
한국동서발전㈜,당진발전본부,2,2020-10,54.0,0.021699,12.0,0.012146,65.0,0.399304
한국동서발전㈜,당진발전본부,3,2020-10,54.0,0.024332,12.0,0.029412,65.0,0.560827
한국동서발전㈜,당진발전본부,4,2020-10,54.0,39.434972,12.0,4.485031,65.0,18.373908
한국동서발전㈜,당진발전본부,5,2020-10,54.0,31.740788,12.0,4.019238,65.0,20.510016
한국동서발전㈜,당진발전본부,6,2020-10,54.0,40.883561,12.0,4.779895,65.0,23.274111
