기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
20254,발달상권,"신촌역(신촌역, 신촌로터리)",스포츠 강습,190574012,563,185879107,4694905,62004846,122818273,1578072,62149177,70583498,12783010,35309971,2419391
20254,전통시장,동화동 골목형상점가,미용실,241121913,7596,158201210,82920703,110263603,126565631,689103,17374758,40986830,66989251,63290864,47498428
20254,전통시장,노량진중앙시장,커피-음료,143339677,43869,95844027,47495650,84490667,57487331,2121862,42653948,43692418,15772423,24945022,12792323
20254,골목상권,신성초등학교,세탁소,7965729,1790,5012268,2953461,5563095,2402634,0,3482559,3099859,774966,511869,96476
20254,발달상권,가산디지털단지,한식음식점,38845970041,1458137,34858600092,3987369949,16401281607,9491707466,78552880,4244996087,8066632051,6146656007,4798277628,2557874422
20254,관광특구,이태원 관광특구,가방,1090502870,5547,885896795,204606075,190536741,828948123,576954,98028433,104265999,303824723,232953614,279835141
20254,전통시장,도화동 상점가,스포츠클럽,190680256,178,158605126,32075130,90001177,67283290,0,0,50383455,18893895,76737074,11270043
20254,발달상권,"신촌역(신촌역, 신촌로터리)",일반교습학원,850287157,3069,727041019,123246138,326663601,479659538,4777618,202655522,46691951,68110154,444533305,39554589
20254,골목상권,서연중학교,커피-음료,814448689,50214,467635175,346813514,261933261,537806007,3075409,272143564,339421744,90839984,63394445,30864122
20254,발달상권,포이사거리(삼호물산),편의점,2990359038,389172,2271801291,718557747,1913158211,702711942,17479614,331969432,732637729,616369520,577951597,339462260
20254,관광특구,이태원 관광특구,일반의류,19821674944,99755,11196474499,8625200445,9202460422,10020404763,81802402,3451615516,5686591488,3163590741,4448320273,2390944772
20254,발달상권,대림3동사거리,당구장,32132604,1726,19845464,12287140,29340097,2115687,1075576,1207692,5111935,6278839,14260441,3521301
20254,발달상권,수유역,서적,70972965,1797,58642752,12330213,28633890,33870045,124835,2456290,2783734,2847015,23238653,31053410
20254,발달상권,거여역,청과상,6367665,34,6284705,82960,173463,6194202,0,0,20740,0,256423,6090502
20254,발달상권,명동역(명동재미로),슈퍼마켓,747710267,65344,627088237,120622030,248249506,433698911,1306061,34182199,72701350,119109291,205205315,249444201
20254,발달상권,길동역,세탁소,75872693,8621,55525868,20346825,33259305,42613388,609987,19052276,27860071,11774691,8718273,7857395
20254,골목상권,잠실나루역,일반의원,3124902801,53265,2493170194,631732607,1132772101,1992130700,3809143,69837469,537387041,1093771110,734118497,685979541
20254,발달상권,서울고교교차로,양식음식점,156549717,10035,139540245,17009472,67296332,72776905,14726866,12849798,30102595,29291516,42361465,10740995
20254,골목상권,가리봉파출소,호프-간이주점,78113534,2487,65342302,12771232,56818564,18689016,0,13736584,21551447,20123141,10002525,10093884
20254,골목상권,등촌3동주민센터,스포츠클럽,30000000,332,22535713,7464287,19908944,9001084,384322,5089214,14139075,2428826,3570969,3297622
20254,골목상권,만리재,호프-간이주점,80626850,1575,61909601,18717249,58502426,18712621,276633,4239159,5428035,8787667,41980340,16503214
20254,전통시장,답십리 건축자재시장,일반의류,253421875,2090,253421875,0,29364953,224056922,0,0,31736696,118036371,56448563,47200245
20254,관광특구,이태원 관광특구,세탁소,114000000,5378,105521637,8478363,57069821,56930179,0,17371700,39120847,30360451,2718822,24428180
20254,전통시장,제일시장,섬유제품,27864319,133,8966137,18898182,1798827,26065492,0,0,1399865,209980,13277723,12976751
20254,골목상권,잠실나루역,미용실,552492131,3331,324031714,228460417,229295980,323196151,1014882,23302972,78368040,188518901,159470606,101816730
20254,골목상권,금천금빛공원(은행나무사거리서측),미용실,42306502,2999,22212708,20093794,33153931,9152571,229896,229896,1247049,6576246,22945117,11078298
20254,발달상권,사당역(사당),중식음식점,1233928424,25648,865993013,367935411,674057322,420232289,8529337,254243319,402271216,164614820,172717269,91913650
20254,골목상권,암사역 1번,세탁소,14157268,723,11736096,2421172,6706623,7450645,0,1789771,3791214,4496426,1549559,2530298
20254,골목상권,청담역 3번,미용실,370609238,2761,176289253,194319985,158700230,204395820,2200433,21542438,37822208,106976911,98938843,95615216
20254,관광특구,이태원 관광특구,양식음식점,18616130631,420730,9800762697,8815367934,9919732120,6821424019,164622124,5395588826,6482702701,2274370085,1439499333,984373069
20254,관광특구,이태원 관광특구,화장품,704296961,12147,366311537,337985424,184090495,503046692,8216368,165054094,163861416,165285024,86892780,97827505
20254,발달상권,학동사거리,운동/경기용품,183739597,3426,124677942,59061655,102339739,45707671,0,17513992,26742920,18318027,76488249,8984223
20254,발달상권,신도림역,의약품,4163366265,112477,3309175066,854191199,1070262806,3093103459,13541600,787600324,1268426173,880312484,812934627,400551057
