대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202606,01201,1201. 가락시장역 3번 출구,정기권,,30대,123,8750.55,78.97,339960.75,2621
202606,05339,5339. 은빛1단지 아파트 앞,정기권,M,~10대,15,517.56,4.65,20107.79,173
202606,03928,3928.고척아이파크아파트 106동 앞,일일권,,40대,7,444.12,4.00,17254.05,148
202606,00102,102. 망원역 1번출구 앞,가족권(2시간),M,~10대,1,181.72,1.64,7060.00,66
202606,02265,2265. 이수고가차도 남단,일일권,F,50대,6,660.63,5.96,25665.78,220
202606,05766,5766. 북위례1,정기권,M,20대,26,749.83,6.74,30385.49,153
202606,04091,4091. 방학역2번출구,정기권,M,30대,207,13492.29,121.57,524177.51,4372
202606,03935,3935. 고대구로병원 앞,정기권,M,50대,116,5737.48,51.70,222901.18,2351
202606,01286,1286. 위례중앙푸르지오 1단지 앞,정기권,M,30대,138,9275.83,83.64,360325.00,3129
202606,00254,254. 도림신협 앞,정기권,,30대,137,5980.24,53.94,232332.81,2713
202606,00334,334. 종로3가역 2번출구 뒤,정기권,F,30대,48,2591.54,23.37,100682.01,1001
202606,03931,3931. 천왕역 3번 출구 뒤,정기권,M,40대,140,7335.49,66.12,284591.69,2513
202606,00639,639. 서울시립대 후문,일일권,F,60대,3,79.11,0.71,3605.66,30
202606,04464,4464. 올림픽공원 북2문 A,정기권,,60대,4,322.09,2.91,12512.94,99
202606,00300,300. 정동사거리,일일권(비회원),,40대,3,249.20,2.25,9681.15,109
202606,04222,4222. 서울디자인고등학교 앞,일일권,F,~10대,11,734.28,6.62,28526.78,392
202606,04619,4619. 한강트럼프월드3차 앞,일일권(비회원),,30대,2,226.14,2.04,8785.34,54
202606,00830,830. 강변삼성스위트아파트 앞,일일권,M,20대,11,632.55,5.72,24573.76,161
202606,04536,4536. 양천해누리체육공원,정기권,,60대,1,55.87,0.50,2170.48,33
202606,01360,1360. 정릉역,일일권,M,60대,4,173.74,1.57,6750.06,44
202606,00774,774.등촌역 4번 출구 ,일일권,M,~10대,9,557.49,5.01,21657.95,183
202606,02410,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),일일권,M,50대,4,294.08,2.63,11338.11,107
202606,02385,2385. 학동역,일일권,M,20대,19,1650.77,14.87,64134.09,713
202606,02359,"2359. 국립국악중,고교 정문 맞은편",일일권,,20대,16,1695.81,15.30,65881.87,438
202606,02008,2008. 노량진근린공원 대방공원,정기권,M,~10대,50,1065.58,9.63,41844.61,349
202606,03432,3432.종로2가 사거리,일일권,,20대,26,2042.18,18.41,82180.71,604
202606,04937,4937.개포래미안포레스트 126동 앞,가족권(2시간),,~10대,1,0.97,0.01,37.63,4
202606,02217,2217.아크로리버뷰 부지 앞,일일권,F,~10대,12,2058.39,18.55,79968.43,774
202606,03006,3006. 상암월드컵파크5단지(상암중학교),일일권,,20대,18,657.81,5.95,25556.30,246
202606,01532,1532. 번3동 주민센터 교차로,정기권,,60대,3,338.40,3.04,13147.23,80
202606,00559,559. 왕십리역 4번 출구 건너편,일일권,F,30대,36,3566.46,32.31,139282.89,1167
202606,03649,3649. 구룡역 5번 출구,정기권,M,50대,45,1299.90,11.71,50501.22,441
202606,01120,1120. 대림경동아파트앞,일일권,,20대,19,2429.13,21.89,94371.42,702
202606,00637,637. KAIST 경영대학 앞,일일권,,30대,6,262.79,2.38,10209.29,68
202606,03128,3128.동신병원 맞은편,일일권(비회원),,50대,1,215.21,1.94,8361.03,54
202606,00297,297.국회3문,정기권,,50대,2,421.53,3.80,16376.50,99
202606,04902,4902. 구역삼세무서 교차로,일일권(비회원),,40대,1,40.16,0.36,1560.05,12
202606,06054,6054.청구e편한세상아파트 113동 앞,일일권,M,50대,11,604.19,5.45,23472.27,187
202606,04020,4020. 중계동 성모빌딩 앞 ,일일권,F,40대,6,370.68,3.34,14400.77,131
202606,01140,1140. 목동사거리 버스정류장,일일권,M,50대,18,2701.83,24.33,104966.20,683
202606,02206,2206. 언남초등학교 앞,정기권,F,40대,78,4495.60,38.51,165872.08,1297
202606,02032,2032. 이수역 11번출구쪽,일일권(비회원),,20대,8,884.90,7.98,34378.20,257
