리뷰내용,추천수
"제주특별자치도 서귀포시 안덕면 병악로 166 에 위치한 카멜리아힐동백언덕.친구들과함께 계획을 함께세우며 꼭!가자고한 장소입니다.입장권을 주고 들어오면 좌측에 제일 먼저 보이는 가랜드문구 I♡YOU. 승민,지은,수민,향유 혼자가아닌 너와함께, 우리함께여서 이 문구가 더 의미있고 기억에 남는거 같습니다.평소 표현이 서툰 제가 잊지못할 소중한 추억을 선사해준 친구들에게 제주 추억공유 캠페인을 통하여 마음을 전하고싶습니다.힘들고 지칠때 이 사진보고 힘내자 친구들아! 항상 고맙고 사랑하는거알지?ㅎㅎ 우리곁에는 항상 우리가 있다는거, 잊지마!!친구들이 볼 수있도록 좋아요 눌러주세요?사랑하는 친구들과 함께한 3박4일 #제주도여행 #성공적#제주추억공유캠페인 #추억이새록새록",159
"성이시돌목장에 가면 테쉬폰, 우유부단 뿐만 아니라 왕따나무도 이색볼거리로 손꼽히고 있는데, 넓은 초원에 딱 한개의 나무가 가운데 있는것도 제주도에서만 딱 볼수있는 이색 장소이다.그래서 나는 지인들에게 꼭 한번은 가보라고 권하는 장소이다. 이곳을 정말 좋아하는 이유는 사랑하는 사람과 함께 넓은 초원을 바라보며 사진을찍고 웨딩촬영하는것을 보며 미래를 다짐해보는 그런 초심이 너무나도 좋다. 이 장소도 좋고. 내가 사랑하는 사람도 좋다.",132
메밀꽃 지평선과 하늘입니다,57
#제주소녀 #엄샤 #제주도민 #도민추천 #인생샷 #명소 #인생샷명소 #해바라기 #꽃밭,29
#제주소녀 #엄샤 #도민추천 #먹이주기체험 #양떼목장 #애월읍 #체험학습 #육아,29
#제주소녀 #엄샤 #도민추천 #인생샷 #명소 #인생샷명소 #제주시내권 #제주목장 #목장 #먹이주기체험 #체험 #,28
#제주소녀 #엄샤 #제주도민 #도민추천 #인생샷 #명소 #인생샷명소 #애월해안도로 #,28
#제주소녀 #엄샤 #제주도민 #도민추천 #관광지 #돌문화공원 #제주산책 #산책하기좋은곳 #한가한 #숲길 #걷기좋은곳,27
#제주소녀 #엄샤 #제주도민 #도민추천 #인생샷 #명소 #인생샷명소 #종달리해안도로 #종달리 #수국 #수국꽃길 #수국축제,26
#제주소녀 #엄샤 #사려니숲 #숲길 #숲 #제주숲길 #안개 #휴일나들이 #핫도그 #도민추천 #제주도민 #,26
#제주소녀 #엄샤 #제주수목원 #제주봄꽃 #제주꽃길 #꽃길 #휴일나들이 #나만알고싶은 #제주관광지 #한적한관광지,25
#제주소녀 #엄샤 #제주벚꽃 #벚꽃명소 #녹산로 #가시리관광지 #가시리 #휴일나들이 #제주도민,24
#신창풍차해안 #제주노을 #제주석양 #노을명소 #신창풍력발전단지 #풍력발전소 #제주소녀 #엄샤 #휴일나들이 #제주도민,24
#제주소녀 #엄샤 #곽지과물해변 #인생샷 #놀이터 #해수욕장 #제주놀이터 #제주도민 #휴일나들이,23
#제주숲 #숲 #서귀포 #치유의숲 #숲길 #도민관광지 #휴일나들이 #한적한관광지 #제주도민 #제주소녀 #엄샤,22
#제주소녀 #엄샤 #닭머르해안길 #제주노을 #제주해안도로 #인생샷 #도민관광지 #휴일나들이 #제주도민 #제주풍경,22
#탐라대학교 #홍가시나무길 #제주소녀 #엄샤 #휴일나들이 #제주인생샷 #인생샷 #킥보드,22
#제주소녀 #엄샤 #유채꽃 #제주유채꽃 #유채꽃밭 #무료유채꽃밭 #휴일나들이 #제주도민,21
봄이 온 협재해변 그림으로 담을 만큼 아름다웠어요,17
,16
사랑하는 손녀와 함께 하트!,14
"제주의 미술과 드넓은 제주의 생태계를 만날수 있는  곳  ,, 나는 이곳에서 처음보는 푸른 나비를 만났다 , 제주의 푸른바다를 갈망하는 듯한 나비의  날개에서 나는 비상하는 나비를 그려본다",11
#제주겨울#서귀포칠십리시공원#인생사진#연못반영#자랑질사진#여기와보시오#추천작가산책길아침9시부터 올라오는 분수물길그 뒤로보이는 눈적신 한라산을 바라보며걸닐수있는 서귀포칠십리시공원을 이모와 함께 걸었어요바람조금부는 따뜻한 오늘이였습니다^^♡,11
"가족과의 소중한 기억, 그 시작은 ‘비짓제주’였습니다.이번 여름, 오랜만에 가족들과 함께 제주 여행을 계획하면서 우연히 알게 된 비짓제주처음엔 단순한 정보 채널인 줄 알았는데 정확하고 따뜻한 설명, 현지인만 알 법한 추천지 그리고 숨은 맛집까지 소개해줘서 정말 큰 도움이 되었어요.특히 아이들을 위한 체험 프로그램 정보와 어르신을 위한 편안한 코스까지 다양하게 제안되어 있어서 3대 가족 모두 만족한 여행이었습니다.단순한 관광을 넘어서 우리가 제주를 이렇게까지 깊게 느낄 수 있구나’ 싶었어요.‘비짓제주’를 통해 준비한 여행은 정말 단 한 순간도 후회 없는 선택이었고 앞으로 제주 여행을 가는 누구에게든 진심으로 추천하고 싶습니다.소중한 순간을 함께해준 비짓제주늘 응원합니다. 그리고 고맙습니다. ??",10
얘들아! 바다처럼 큰 사람이 되거라,10
제주도 여행을 마치고 공항 가는길에 만난 마방목지자유롭게 초원을 뛰어노는 말들과 안개를 뚫고 들어오는 햇살이 정말 아름다웠던 순간사진으로 담기에는 부족한 눈에 담았던 그 순간의 찰나,10
,10
아버지와 함께 어색하지만 추억거리가 생겼어요,10
멋진 일출은 놓쳤지만 말 한마리가 도와줬네요,10
제주도 소인국테마파크에서 세계여행을 즐겨보아요~~~,9
성산일출봉이 보이는 광치기 해변멋진 일출은 보진 못했지만 나름 자동차 CF 같은 한컷을 만들어냈다,9
전날 먹은 흑돼지집에서 알려준 현지인이 추천하는 고기국수 집고기국수라는 것도 처음알았지만 여지껏 먹었던 그 어떤 면요리보다 맛있었다.인생국수!!!,9
할아버지와 함께간 제주도 여행에 비는 오지만 모든 가족이 행복한 한 때,9
"??제주도 서귀포 여행지로 떠나고 싶습니다??안녕하세요 제주도 여행 관련 이벤트를 보고 참여하게 되었습니다. 작년에 제주도 서귀포쪽으로 여행을 떠난적이 있습니다. 새벽부터 부랴부랴 일출을 보러갔었는데 그 때의 기억을 아직도 잊을수가 없습니다. 풍경이 너무 아름다웠고 제주도를 다녀온 후 그 어떤 곳을 가도 일출이 그때만큼 아름다웠던 적은 없었던 것 같습니다. 성산일출봉 정상까지 올라갔다가 내려오는 길마저 너무 예뻐서 발걸음을 옮길 수가 없었습니다,, 사진찍는 곳마다 모두 그림처럼 예뻤고, 하늘도 너무 맑아서 구름도 너무 아름다웠습니다. 바람도 꽤 불었지만 사진을 찍었을 때는 바람마저 완벽했고, 그 완벽했던 바람 덕분에 사진처럼 예쁜 기록들을 남길 수 있었던 것 같습니다 :) 제가 다녀와본 수많은 여행지들이 있지만 제주도 서귀포라는 곳은 제게는 너무 소중했던 추억들이 많은 여행지라 한번씩 갤러리 다시 보면서 회상하며 꼭 한번 더 여행가야지 하고 다짐했었는데, 이런 너무 좋은 이벤트가 진행중이라 바로 참여하게 되었습니다?? 좋은 이벤트 기획해주셔서 너무 감사드리며, 꼭 당첨되길 소망해봅니다,,!????",9
,9
우리나라 메밀의 주산지가 제주도라고 합니다. (70% 이상),9
#국수 #제주국수 #고기국수 #족타면 #생면 #연동국수가게 #열무국수 #서리태 #돔베고기 #비빔국수 #무방부제,8
제주도의 원시림 곶자왈을 그대로 보존한 에코랜드비가와서 더 초록초록 촉촉사진만 봐도 힐링되는듯 하다.,8
여행은 추억과 사진을 남기고..,8
"가장 제주스럽다는 말이 나오는 곳, 물빛, 햇빛, 바다빛 3박자가 고루 갖춰져 눈이 호강하고 마음이 깨끗해 지는 곳이에요. 날씨만 허락된다면 정말 제주도를 한껏 느낄 수 있는곳!",8
세화해변에서찍은 셀프웨딩촬영컷입니당,7
#아이들과함께 #짜장 #짬뽕 #레드팬더 #24시 #제주짬뽕 #갈비전골 #해물전골 #제주중국집 #불짬뽕 #해물탕 #생면,7
중학교 친구들과 갔던 제주도 !!지금은 다들 직장인이고 전 학생인데 가끔 취업 준비 하느라 힘들때 이 사진을 보면 행복하고 힘이나요*^^*렌트안하고 뚜벅이로 갔던 첫 제주도 여행 ! 정말 성산일출봉에서 찍은 사진들은 하나같이 다 마음에 들었어요!지는 해를 보면서 친구와 하트를 만들고 사진을 찍었는데 너무 기분이 좋더라구요?? 저도 취업하면 친구들과 다시 한번 가볼 생각입니다*^^*,7
우리는 지민이 흔적을 느끼러 제주 간다!!누웨마루거리는 이제 지민투어 필수코스죠~지민이 따라 사진도 찍고 포토존에서 인증??,7
지민이가 다녀간 누웨마루거리 인증??지민이가 다녀간 제주 누웨마루거리에 꼭 가보고 싶었던 차에 지민포토죤이 생겨 급 여행 결정하여 설레며 떠난 제주여행 이었습니다지민 포토죤 너무 예쁘게 잘 되어 있고 거리도 예쁘더라구요 ㅎㅎ지민이가 다녀간 곳이라 더 소중한 추억이 된것 같아요 꼭 많이 방문해주셔서 지민이와 소중한 추억 만드셨음 좋겠습니다??차 가져가시는 분들은 바로 앞에 공영주차장 이용하시면 됩니다.  전 무료로 이용했어요 ??지민이가 다녀간 스누피가든이랑 협재해수욕장도 멋져요.??,7
천지연 폭포에서,7
