"구분별(1)",구분별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"구분별(1)",구분별(2),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),라프텔 (%),스포티비 나우 (%),네이버 치지직 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),펄스픽 (%),드라마박스 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),네이버 시리즈온 (동영상 시청에 한함) (%),카카오페이지 (동영상 시청에 한함) (%),라프텔 (%),스포티비 나우 (%),네이버 치지직 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),카카오페이지 (동영상 시청에 한함) (%),라프텔 (%),스포티비 나우 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),트위치 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),네이버 시리즈온 (동영상 시청에 한함) (%),카카오페이지 (동영상 시청에 한함) (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),트위치 (%),시즌 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),쿠팡플레이 (쿠팡와우 이용자만) (%),넷플릭스 (%),아마존프라임 (%),유튜브(유튜브 프리미엄 구독) (%),트위치 (%),시즌 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),넷플릭스 (%),유튜브(유튜브 프리미엄 구독) (%),시즌 (%),기타 (%),이중에 이용한적 없음 (%)
"전체",소계,4.1,13.0,0.9,0.1,0.2,0.1,1.5,0.3,7.1,0.8,0.2,0.1,46.7,5.1,0.4,0.8,9.6,0.4,0.1,0.0,46.4,6.9,14.8,0.5,0.0,0.1,0.2,0.2,1.4,0.1,8.5,0.1,0.1,1.2,0.1,0.3,36.1,5.4,0.1,0.6,9.1,0.3,52.5,5.9,9.1,1.0,0.1,0.1,0.2,1.4,0.2,6.3,0.1,0.6,0.4,35.7,3.9,0.1,0.7,6.6,0.1,0.1,56.1,6.1,7.8,0.9,0.0,0.1,0.2,1.8,0.1,5.2,0.3,0.1,31.5,3.6,0.1,0.6,7.1,0.1,0.5,59.8,4.4,4.4,1.2,0.2,0.2,0.4,1.4,0.3,24.0,0.0,10.3,0.2,0.7,65.2,2.3,1.5,1.1,0.0,0.1,0.3,0.3,11.6,8.2,0.5,0.0,78.3
"성별",남자,3.9,12.0,0.8,0.1,0.2,0.0,1.7,0.0,6.7,0.9,0.3,0.0,46.3,4.7,0.5,0.8,11.1,0.4,0.1,0.0,46.3,6.4,14.5,0.6,0.1,0.2,0.1,0.2,1.1,0.0,9.4,0.0,0.1,0.8,0.2,0.5,38.4,5.6,0.1,0.6,10.9,0.5,49.3,5.1,7.3,0.8,0.1,0.0,0.3,1.2,0.2,6.0,0.0,0.6,0.9,36.0,3.8,0.0,0.6,7.2,0.1,0.1,55.7,4.7,5.9,1.1,0.0,0.2,0.1,1.5,0.1,4.8,0.2,0.1,31.0,3.9,0.2,0.6,8.1,0.1,0.3,59.5,3.6,3.3,1.0,0.4,0.0,0.7,1.0,0.2,23.1,0.1,11.0,0.4,0.5,66.0,2.5,1.9,1.3,0.0,0.0,0.4,0.2,10.8,9.1,0.4,0.0,77.3
"성별",여자,4.2,14.1,1.0,0.1,0.2,0.1,1.3,0.5,7.6,0.8,0.0,0.1,47.1,5.5,0.3,0.7,8.1,0.5,0.1,0.1,46.5,7.3,15.0,0.5,0.0,0.0,0.3,0.2,1.7,0.1,7.5,0.1,0.1,1.5,0.0,0.1,33.8,5.3,0.1,0.5,7.3,0.2,55.7,6.6,10.9,1.2,0.2,0.2,0.0,1.5,0.1,6.6,0.1,0.6,0.0,35.4,4.0,0.2,0.7,6.1,0.0,0.1,56.5,7.4,9.7,0.6,0.0,0.1,0.2,2.2,0.2,5.5,0.3,0.1,32.0,3.4,0.1,0.6,6.1,0.1,0.7,60.0,5.1,5.4,1.4,0.1,0.3,0.1,1.7,0.4,24.7,0.0,9.6,0.0,0.8,64.5,2.2,1.1,0.8,0.1,0.3,0.1,0.5,12.4,7.2,0.6,0.1,79.3
"연령",10대,2.3,24.7,1.5,0.0,1.3,0.0,1.4,2.1,7.3,2.6,0.0,0.5,58.8,6.3,0.4,1.2,11.7,3.2,0.4,0.1,26.2,6.1,29.7,0.0,0.0,0.0,1.8,0.0,4.5,0.0,8.3,0.0,0.0,7.8,0.0,0.0,39.3,5.7,0.9,0.9,11.0,1.8,40.3,4.1,11.6,2.2,0.0,0.0,0.4,0.4,0.1,6.8,0.0,1.2,1.3,57.0,6.4,0.4,0.2,7.7,0.3,0.2,33.0,9.5,13.9,0.3,0.0,0.0,0.3,0.4,0.0,3.9,0.7,0.3,50.7,4.1,0.0,1.2,7.9,0.0,0.3,38.3,7.4,6.4,2.1,0.0,0.4,1.0,1.7,0.7,32.6,0.0,16.3,0.7,0.4,47.9,0.9,1.1,3.1,0.0,0.0,0.5,0.1,11.4,6.1,2.1,0.0,79.6
"연령",20대,8.5,27.0,1.2,0.0,0.5,0.4,4.2,0.5,12.9,3.7,0.4,0.3,73.0,9.5,0.6,2.0,23.2,0.1,0.0,0.0,15.3,13.4,27.4,0.3,0.2,0.4,0.0,0.6,2.4,0.1,17.2,0.0,0.1,2.4,0.6,1.0,60.4,8.4,0.0,0.3,22.0,0.4,19.5,13.2,22.2,1.0,0.8,0.5,0.7,3.3,0.3,14.4,0.1,2.7,1.9,64.4,8.5,0.3,1.5,14.1,0.2,0.4,17.7,15.7,20.9,2.1,0.0,0.2,0.8,5.7,0.5,14.8,1.0,0.0,63.6,7.7,0.0,0.5,11.2,0.0,0.8,23.6,9.2,10.7,2.0,1.0,0.5,1.2,4.2,0.6,53.1,0.0,16.9,0.2,1.2,34.1,5.1,2.1,1.7,0.0,0.6,0.7,1.2,18.1,11.7,0.8,0.0,66.6
"연령",30대,10.2,23.4,2.3,0.4,0.0,0.0,2.8,0.0,14.4,0.4,0.2,0.0,76.6,11.0,0.5,1.3,20.0,0.1,0.0,0.0,15.6,18.1,32.2,1.8,0.0,0.3,0.0,0.3,3.5,0.0,17.8,0.3,0.1,1.5,0.1,1.1,58.0,13.1,0.0,1.3,20.1,0.7,21.0,15.2,19.0,2.6,0.2,0.1,0.2,4.2,0.6,10.4,0.5,0.5,0.0,61.7,7.5,0.4,1.6,13.2,0.0,0.0,26.6,11.5,12.9,2.1,0.2,0.6,0.2,2.2,0.2,9.2,0.1,0.2,55.0,6.8,0.1,0.5,11.0,0.6,1.4,32.4,8.8,7.9,2.9,0.3,0.4,0.4,2.1,0.6,43.5,0.0,14.1,0.7,1.6,39.4,4.2,2.8,0.9,0.1,0.0,0.1,0.3,20.2,8.6,0.4,0.0,69.9
"연령",40대,5.1,16.2,1.6,0.2,0.1,0.0,1.5,0.1,11.2,0.7,0.3,0.0,64.9,8.0,1.0,0.7,8.1,0.7,0.0,0.2,27.1,6.7,13.9,0.9,0.0,0.0,0.2,0.3,0.8,0.0,9.7,0.1,0.3,0.0,0.0,0.0,48.4,6.9,0.3,0.7,7.0,0.1,41.0,5.1,10.1,1.2,0.0,0.0,0.0,0.8,0.1,8.6,0.0,0.2,0.1,41.0,4.2,0.0,0.4,7.9,0.1,0.0,48.2,6.8,7.8,1.3,0.0,0.0,0.1,2.5,0.1,6.2,0.4,0.1,37.7,5.8,0.4,1.5,8.3,0.0,0.7,49.7,4.0,3.7,1.1,0.0,0.0,0.3,0.7,0.2,22.1,0.0,8.2,0.0,0.7,67.7,0.9,0.7,0.9,0.0,0.0,0.0,0.0,7.6,7.6,0.0,0.0,82.4
"연령",50대,1.7,7.7,0.4,0.0,0.0,0.0,0.9,0.2,4.0,0.0,0.2,0.0,41.7,2.6,0.3,0.5,5.0,0.3,0.1,0.0,52.5,3.6,8.8,0.2,0.0,0.0,0.0,0.0,0.6,0.2,5.9,0.0,0.0,0.2,0.0,0.0,34.6,3.7,0.1,0.6,5.5,0.2,56.1,3.3,3.4,0.5,0.0,0.0,0.0,0.6,0.0,3.9,0.0,0.1,0.1,28.0,2.2,0.0,0.7,2.3,0.0,0.0,67.2,1.2,2.8,0.1,0.0,0.0,0.0,1.0,0.1,1.6,0.0,0.0,17.9,1.2,0.3,0.4,6.6,0.0,0.1,74.9,1.3,1.4,0.4,0.0,0.0,0.0,0.9,0.0,10.8,0.0,10.0,0.0,0.1,78.5,0.6,1.3,0.0,0.0,0.0,0.1,0.0,3.4,6.1,0.0,0.2,89.6
