"동별(1)",동별(2),동별(3),2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,소계,4522718,9552649,4581706,4970943,9284263,4468307,4815956,268386,113399,154987
"합계",종로구,소계,72459,147623,70115,77508,136139,65198,70941,11484,4917,6567
"합계",종로구,청운효자동,4830,10745,4869,5876,10635,4813,5822,110,56,54
"합계",종로구,사직동,4553,9087,4046,5041,8839,3905,4934,248,141,107
"합계",종로구,삼청동,1045,2265,1094,1171,2040,964,1076,225,130,95
"합계",종로구,부암동,4110,9081,4246,4835,8866,4150,4716,215,96,119
"합계",종로구,평창동,7097,17135,7887,9248,16922,7785,9137,213,102,111
"합계",종로구,무악동,2980,7735,3556,4179,7710,3544,4166,25,12,13
"합계",종로구,교남동,4336,9622,4364,5258,9481,4285,5196,141,79,62
"합계",종로구,가회동,1791,3590,1669,1921,3509,1625,1884,81,44,37
"합계",종로구,종로1.2.3.4가동,4875,8523,4971,3552,6589,3989,2600,1934,982,952
"합계",종로구,종로5.6가동,3721,5944,3020,2924,5397,2770,2627,547,250,297
"합계",종로구,이화동,4494,7603,3483,4120,7076,3263,3813,527,220,307
"합계",종로구,혜화동,9318,18859,8555,10304,15729,7509,8220,3130,1046,2084
"합계",종로구,창신1동,2643,5329,2802,2527,4350,2282,2068,979,520,459
"합계",종로구,창신2동,3876,8340,4264,4076,7061,3618,3443,1279,646,633
"합계",종로구,창신3동,2725,6286,3074,3212,6050,2938,3112,236,136,100
"합계",종로구,숭인1동,3015,6032,2942,3090,5661,2770,2891,371,172,199
"합계",종로구,숭인2동,7050,11447,5273,6174,10224,4988,5236,1223,285,938
"합계",중구,소계,63854,127602,61067,66535,117493,56335,61158,10109,4732,5377
"합계",중구,소공동,1244,3507,1691,1816,2202,1025,1177,1305,666,639
"합계",중구,회현동,2270,4642,2353,2289,4035,2035,2000,607,318,289
"합계",중구,명동,1315,3384,1515,1869,2484,1031,1453,900,484,416
"합계",중구,필동,2825,5232,2622,2610,4307,2197,2110,925,425,500
"합계",중구,장충동,2950,5410,2774,2636,4570,2401,2169,840,373,467
"합계",중구,광희동,3976,6981,3393,3588,5718,2769,2949,1263,624,639
"합계",중구,을지로동,2062,3396,1800,1596,3033,1629,1404,363,171,192
"합계",중구,신당동,4671,8639,4094,4545,7258,3507,3751,1381,587,794
"합계",중구,다산동,6707,13263,6371,6892,12833,6172,6661,430,199,231
"합계",중구,약수동,7690,15854,7318,8536,15623,7201,8422,231,117,114
"합계",중구,청구동,5030,10783,5027,5756,10620,4949,5671,163,78,85
"합계",중구,신당5동,5419,10314,4941,5373,9974,4815,5159,340,126,214
"합계",중구,동화동,3954,9882,4732,5150,9737,4661,5076,145,71,74
"합계",중구,황학동,7866,14054,6471,7583,13174,6124,7050,880,347,533
"합계",중구,중림동,5875,12261,5965,6296,11925,5819,6106,336,146,190
"합계",용산구,소계,101944,211750,100963,110787,199575,94772,104803,12175,6191,5984
"합계",용산구,후암동,8308,16004,7665,8339,15579,7452,8127,425,213,212
"합계",용산구,용산2가동,4948,9740,4746,4994,8383,4118,4265,1357,628,729
"합계",용산구,남영동,5001,7511,4431,3080,7017,4211,2806,494,220,274
"합계",용산구,청파동,11553,19691,8788,10903,18784,8578,10206,907,210,697
"합계",용산구,원효로1동,9374,17741,8117,9624,17044,7751,9293,697,366,331
"합계",용산구,원효로2동,6319,13438,6205,7233,13300,6140,7160,138,65,73
"합계",용산구,효창동,4725,10547,4919,5628,10406,4864,5542,141,55,86
"합계",용산구,용문동,5346,11165,5262,5903,11039,5197,5842,126,65,61
"합계",용산구,한강로동,11177,22546,10702,11844,20859,9825,11034,1687,877,810
"합계",용산구,이촌1동,9131,25326,11925,13401,24926,11699,13227,400,226,174
"합계",용산구,이촌2동,3547,7741,3626,4115,7693,3605,4088,48,21,27
"합계",용산구,이태원1동,3085,6628,3418,3210,5386,2641,2745,1242,777,465
"합계",용산구,이태원2동,4668,9853,4715,5138,8337,3958,4379,1516,757,759
"합계",용산구,한남동,6928,15349,7291,8058,13675,6383,7292,1674,908,766
"합계",용산구,서빙고동,5055,12860,6229,6631,12144,5854,6290,716,375,341
"합계",용산구,보광동,2779,5610,2924,2686,5003,2496,2507,607,428,179
"합계",성동구,소계,133729,282264,135636,146628,274346,132283,142063,7918,3353,4565
"합계",성동구,왕십리2동,7334,15953,7616,8337,15611,7467,8144,342,149,193
"합계",성동구,왕십리도선동,12028,26019,12195,13824,25501,12002,13499,518,193,325
"합계",성동구,마장동,11166,22388,10716,11672,21402,10431,10971,986,285,701
"합계",성동구,사근동,8470,14186,7129,7057,12120,6269,5851,2066,860,1206
"합계",성동구,행당1동,7362,16023,7524,8499,15719,7423,8296,304,101,203
"합계",성동구,행당2동,9108,22325,10427,11898,22242,10399,11843,83,28,55
"합계",성동구,응봉동,5827,14431,6819,7612,14354,6781,7573,77,38,39
"합계",성동구,금호1가동,6335,14282,6773,7509,14212,6741,7471,70,32,38
"합계",성동구,금호2.3가동,9373,20756,9836,10920,20594,9766,10828,162,70,92
"합계",성동구,금호4가동,6273,13896,6502,7394,13726,6407,7319,170,95,75
"합계",성동구,옥수동,10699,25367,11789,13578,25113,11644,13469,254,145,109
"합계",성동구,성수1가1동,7252,15066,7422,7644,14748,7253,7495,318,169,149
"합계",성동구,성수1가2동,7094,14541,6999,7542,14289,6888,7401,252,111,141
"합계",성동구,성수2가1동,7070,13764,7093,6671,13241,6811,6430,523,282,241
"합계",성동구,성수2가3동,4865,9605,4695,4910,9318,4559,4759,287,136,151
"합계",성동구,송정동,5100,9483,4964,4519,8992,4720,4272,491,244,247
"합계",성동구,용답동,8373,14179,7137,7042,13164,6722,6442,1015,415,600
"합계",광진구,소계,172185,348371,165187,183184,330802,158095,172707,17569,7092,10477
"합계",광진구,화양동,18236,28450,12634,15816,22970,10815,12155,5480,1819,3661
"합계",광진구,군자동,11273,21342,10371,10971,18485,9048,9437,2857,1323,1534
"합계",광진구,중곡1동,8608,15344,7230,8114,14794,6977,7817,550,253,297
"합계",광진구,중곡2동,10503,20077,9401,10676,19651,9245,10406,426,156,270
"합계",광진구,중곡3동,8433,15512,7556,7956,15188,7425,7763,324,131,193
"합계",광진구,중곡4동,13204,27246,13086,14160,26787,12903,13884,459,183,276
"합계",광진구,능동,6336,11073,5089,5984,10586,4876,5710,487,213,274
"합계",광진구,광장동,11740,33096,15960,17136,32828,15835,16993,268,125,143
"합계",광진구,자양1동,12137,22388,10689,11699,21422,10277,11145,966,412,554
"합계",광진구,자양2동,12197,26593,12786,13807,26269,12643,13626,324,143,181
